Date;Volume
14.09.1987;154400000
15.09.1987;136200000
16.09.1987;195700000
17.09.1987;150700000
18.09.1987;188100000
21.09.1987;170100000
22.09.1987;209500000
23.09.1987;220300000
24.09.1987;162200000
25.09.1987;138000000
28.09.1987;188100000
29.09.1987;173500000
30.09.1987;183100000
01.10.1987;193200000
02.10.1987;189100000
05.10.1987;159700000
06.10.1987;175600000
07.10.1987;186300000
08.10.1987;198700000
09.10.1987;158300000
12.10.1987;141900000
13.10.1987;172900000
14.10.1987;207400000
15.10.1987;263200000
16.10.1987;338500000
19.10.1987;604300000
20.10.1987;608100000
21.10.1987;449600000
22.10.1987;392200000
23.10.1987;245600000
26.10.1987;308800000
27.10.1987;260200000
28.10.1987;279400000
29.10.1987;258100000
30.10.1987;303400000
02.11.1987;176000000
03.11.1987;227800000
04.11.1987;202500000
05.11.1987;226000000
06.11.1987;228290000
09.11.1987;160690000
10.11.1987;184310000
11.11.1987;147850000
12.11.1987;206280000
13.11.1987;174920000
16.11.1987;164340000
17.11.1987;148240000
18.11.1987;158270000
19.11.1987;157140000
20.11.1987;189170000
23.11.1987;143160000
24.11.1987;199520000
25.11.1987;139780000
27.11.1987;86360000
30.11.1987;268910000
01.12.1987;149870000
02.12.1987;148890000
03.12.1987;204160000
04.12.1987;184800000
07.12.1987;146660000
08.12.1987;227310000
09.12.1987;231430000
10.12.1987;188960000
11.12.1987;151680000
14.12.1987;187680000
15.12.1987;214970000
16.12.1987;193820000
17.12.1987;191780000
18.12.1987;276220000
21.12.1987;161790000
22.12.1987;192650000
23.12.1987;203110000
24.12.1987;108800000
28.12.1987;131220000
29.12.1987;111580000
30.12.1987;149230000
31.12.1987;170140000
04.01.1988;181810000
05.01.1988;209520000
06.01.1988;169730000
07.01.1988;175360000
08.01.1988;197300000
11.01.1988;158980000
12.01.1988;165730000
13.01.1988;154020000
14.01.1988;140570000
15.01.1988;197940000
18.01.1988;135100000
19.01.1988;153550000
20.01.1988;181660000
21.01.1988;158080000
22.01.1988;147050000
25.01.1988;275250000
26.01.1988;138380000
27.01.1988;176360000
28.01.1988;166430000
29.01.1988;211880000
