Instrument,Company Common Name,Country of Headquarters,Company Market Cap,Average Daily Value Traded - 52 Weeks
8894.T,Revolution Co Ltd,Japan,15520459656.0,20944311.4285714
IWG.L,IWG Plc,Switzerland,1940146492.19714,320709910.983268
GMRG.L,Gaming Realms PLC,United Kingdom,112972786.505481,14815132.5301556
CTY.L,City of London Investment Trust PLC,United Kingdom,2104862167.68132,301060036.036965
MIR.AX,Mirrabooka Investments Ltd,Australia,616715222.64,226548.117472714
7707.T,Precision System Science Co Ltd,Japan,5533380000.0,25268182.0408163
MRFr.AT,MIG Holdings SA,Greece,124253445.023992,39039.6311895161
UMSH.SI,UMS Holdings Ltd,Singapore,923696723.3,5264645.758
1330.T,Nikko Listed IDX Fund 225,Japan,5115711954090.0,1145419576.85714
1321.T,Nomura NF Nikkei 225 ETF,Japan,10451274873760.0,12765938522.1224
1306.T,Nomura NF TOPIX ETF,Japan,23143337637964.0,5044644877.69388
1305.T,Daiwa ETF Topix,Japan,10584982857935.0,505349660.938776
1320.T,Daiwa ETF Nikkei 225,Japan,4884730606800.0,1785066531.02041
VPLM.PK,Voip-Pal.Com Inc,United States of America,52678417.5024,88304.2571239164
FRO.N,Frontline Plc,Cyprus,5632359091.7,11887058.1123108
6938.T,Soshin Electric Co Ltd,Japan,8140791904.0,23184459.5918367
SXT.N,Sensient Technologies Corp,United States of America,3223624662.92,6195634.46796813
BDT.TO,Bird Construction Inc,Canada,1083227370.9,1301495.51250996
OMG1.L,Oxford Metrics PLC,United Kingdom,145897994.85,25701420.2996109
0353.HK,Energy International Investments Holdings Ltd,Hong Kong,810422167.5,2509629.49715447
DJGTEEX.DE,iShares Dow Jones Global Titans 50 (DE),Germany,1813363200.0,1534638.90588235
MRPJ.J,Mr Price Group Ltd,South Africa,46276870053.7113,21823385132.724
GNDJ.J,Grindrod Ltd,South Africa,9703548447.8465,976240863.472
4293.T,Septeni Holdings Co Ltd,Japan,96885561186.0,213476616.734694
WTBFB.PK,WTB Financial Corp,United States of America,669179037.0,177397.767839442
BSEM.PK,Biostem Technologies Inc,United States of America,152090978.2,115448.452053785
BWEL.PK,JG Boswell Co,United States of America,567111240.0,130647.18221753
IGPK.PK,Integrated Cannabis Solutions Inc,United States of America,34488983.9437,149353.219453347
ITX.MC,Industria de Diseno Textil SA,Spain,136037524917.275,69756514.0594118
OPAr.AT,Greek Organisation of Football Prognostics SA,Greece,5765655929.14644,6666383.80825205
0290.HK,GoFintech Innovation Ltd,Hong Kong,3352910299.44,683309.864670082
EBRO.MC,Ebro Foods SA,Spain,2463460927.21141,962935.413411765
ALE.N,ALLETE Inc,United States of America,3619075985.28,6731094.54406375
LSEG.L,London Stock Exchange Group PLC,United Kingdom,48771052619.4,11476289716.5681
AALB.AS,Aalberts NV,Netherlands,5189608269.87414,6691160.10243137
AEGN.AS,Aegon Ltd,Netherlands,10906398342.5987,33508788.7994628
AD.AS,Koninklijke Ahold Delhaize NV,Netherlands,27293035412.7517,56831253.7394706
AKZO.AS,Akzo Nobel NV,Netherlands,10896724069.8642,25655230.3887843
ARBN.AS,Acomo NV,Netherlands,519798352.316506,307823.533254902
BAMN.AS,Koninklijke BAM Groep NV,Netherlands,981710277.634348,2880969.30029804
RAND.AS,Randstad NV,Netherlands,8580638190.67639,19236865.6979216
CORB.AS,Corbion NV,Netherlands,1269812893.06099,2096676.72780392
HEIO.AS,Heineken Holding NV,Netherlands,22120814299.8667,9167353.84137255
HEIN.AS,Heineken NV,Netherlands,53361297135.0375,55148925.1106666
HLAN.AS,HAL Trust,Monaco,11133690444.8,1188137.97566446
SBMO.AS,SBM Offshore NV,Netherlands,2579986235.4,5944242.6567451
FUGR.AS,Fugro NV,Netherlands,2676035496.58522,5111210.23878431
NEDP.AS,Nedap NV,Netherlands,416572663.127196,196441.04
PHG.AS,Koninklijke Philips NV,Netherlands,22244113772.1,45445788.5915312
SVEL.AS,Kendrion NV,Netherlands,199087559.163856,273195.806352941
TWKNc.AS,TKH Group NV,Netherlands,1742249123.40404,2915349.44439216
VASN.AS,Vastned Retail NV,Netherlands,427653004.345751,212548.879019608
WEHA.AS,Wereldhave NV,Netherlands,602858012.46,1108062.65509804
WLSNc.AS,Wolters Kluwer NV,Netherlands,36680174286.17,60857004.1717647
KPN.AS,Koninklijke KPN NV,Netherlands,13331272887.4611,34864773.6798824
SLIGR.AS,Sligro Food Group NV,Netherlands,632846714.5,342856.843686275
ECMPA.AS,Eurocommercial Properties NV,Netherlands,1179049173.08695,864586.160666666
HEIJ.AS,Koninklijke Heijmans NV,Netherlands,461707414.328796,989577.321647059
BESI.AS,BE Semiconductor Industries NV,Netherlands,10263674924.5465,56591062.6098824
ASML.AS,ASML Holding NV,Netherlands,337648968410.0,389205554.791372
ARDS.AS,Arcadis NV,Netherlands,5484385409.92708,7075087.44670588
ASMI.AS,ASM International NV,Netherlands,30398710185.4682,69063868.787647
MT.AS,ArcelorMittal SA,Luxembourg,20134838716.92,57596020.4525882
NSTEc.AS,NSI NV,Netherlands,390057634.209485,548153.694352941
BRUN.AS,Brunel International NV,Netherlands,548228924.16,580495.374705882
PTNL.AS,PostNL NV,Netherlands,604909671.552,2845318.70154118
PHAR.AS,Pharming Group NV,Netherlands,591954958.077,6747066.49823137
VOPA.AS,Koninklijke Vopak NV,Netherlands,4663002443.77491,5289333.2157647
VLAN.AS,Van Lanschot Kempen NV,Netherlands,1692460579.77245,2508259.12536338
IPAR.PA,Interparfums SA,France,3302841209.11622,1658525.05994777
ALHRG.PA,Herige SA,France,99154573.3499032,61830.8643137255
IDVP.PA,IDI SCA,France,539147475.0,44990.5294117647
PLVP.PA,Plastiques du Val de Loire SA,France,66376800.0,38024.7764313725
ERMT.PA,Eramet SA,France,2720572870.9711,4227361.41568627
ALDEL.PA,Delfingen Industry SA,France,99124872.8,37275.2466666666
BNPP.PA,BNP Paribas SA,France,79140770497.1068,164060573.883961
GPIF.PA,Gerard Perrier Industrie SA,France,386984615.2,40122.1301960784
VCTP.PA,Vicat SA,France,1594995426.63914,639209.440588235
LAEP.PA,Latecoere SA,France,165064929.629045,45239.3409266317
EDSP.PA,Electricite de Strasbourg SA,France,871651715.950939,37465.2211764706
BAIN.PA,Societe Anonyme des Bains de Mer et du Cercle des Etrangers a Monaco SA,Monaco,2637269634.19943,79673.56
VIRB.PA,Virbac SA,France,3029949955.7878,1361211.14901961
SDGI.PA,Synergie SE,France,879468200.0,71718.3105882353
GRBT.PA,Guerbet SA,France,466130609.225526,347188.192352941
PUBP.PA,Publicis Groupe SA,France,27038357193.927,36600820.0477648
JCQ.PA,Jacquet Metals SA,France,435545966.24,237447.281411765
CHBE.PA,Beneteau SA,France,1065375634.10039,1196108.18682353
BOLL.PA,Bollore SE,France,17526611818.2742,5774207.23162745
MANP.PA,Manitou BF SA,France,1016177059.29902,237534.647686274
ROBF.PA,Robertet SA,France,2030870777.55435,437236.956862745
ICAD.PA,Icade SA,France,2018489062.76119,3146073.03466667
CBLP.PA,Mersen SA,France,915065556.595863,1029451.57941176
GFCP.PA,Gecina SA,France,7649098380.34636,11491696.9486275
TEPRF.PA,Teleperformance SE,France,6311315011.92,32642995.4147059
FOUG.PA,Eiffage SA,France,10183975002.688,18459914.2722745
TFFP.PA,Television Francaise 1 SA,France,1827572650.92867,1122013.33737255
TTEF.PA,TotalEnergies SE,France,160572934656.891,246590707.145098
LOIM.PA,Klepierre SA,France,7256606711.3688,16375294.6354902
AIRP.PA,L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA,France,97778084758.62,99424670.9908236
SAVEN.PA,Savencia SA,France,744233091.461089,103894.418039216
CASP.PA,Casino Guichard Perrachon SA,France,1246582399.5135,2470656.79580667
GEPH.PA,CGG SA,France,313589347.7652,4691738.08909922
CARR.PA,Carrefour SA,France,11119949365.7492,27521592.2555686
MWDP.PA,Wendel SE,France,4294806512.01857,4795146.09921568
OREP.PA,L'Oreal SA,France,239049023598.75,123380748.524118
VLLP.PA,Vallourec SA,France,3758654903.25457,11414597.0124
AM.PA,Dassault Aviation SA,France,16006128196.332,9178434.20627451
ACCP.PA,Accor SA,France,10057515277.9811,25848602.544
SAF.PA,Safran SA,France,90253856353.225,82254462.296902
BOUY.PA,Bouygues SA,France,13349540217.24,27220463.0038039
ESSF.PA,Esso Societe Anonyme Francaise SA,France,2254692981.2,1118439.15839216
ESLX.PA,EssilorLuxottica SA,France,92587653588.0,75892134.2053725
MICP.PA,Compagnie Generale des Etablissements Michelin SCA,France,26635352676.9096,40378137.7865883
PERP.PA,Pernod Ricard SA,France,37986210099.6063,67142086.0864706
IMTP.PA,Imerys SA,France,2990182687.55878,2496122.61890196
EXHO.PA,Sodexo SA,France,12195139614.5481,14605317.8340943
VIV.PA,Vivendi SE,France,10268283706.25,19649568.0304353
BICP.PA,Societe BIC SA,France,2800154950.34074,1783561.77843137
LVMH.PA,LVMH Moet Hennessy Louis Vuitton SE,France,394061645430.0,268794858.429412
EURA.PA,Eurazeo SE,France,6459781019.26001,7162364.59039216
FRVIA.PA,Forvia SE,France,2928696288.9043,17811566.2929412
TCFP.PA,Thales SA,France,34833630600.7927,32866968.8666667
URW.PA,Unibail-Rodamco-Westfield SE,France,11008405435.0568,24464941.8273333
PRTP.PA,Kering SA,France,40891421541.8609,87402768.3207843
SEBF.PA,SEB SA,France,6318180756.63203,6408454.23117647
SGOB.PA,Compagnie de Saint Gobain SA,France,40288228542.1684,63587668.4443921
SGEF.PA,Vinci SA,France,67152847749.9,80176950.9749803
CAPP.PA,Capgemini SE,France,35684225077.7495,63990462.3952941
VLOF.PA,Valeo SE,France,2998725914.24648,18180981.9192941
SOGN.PA,Societe Generale SA,France,20047489515.0823,78440318.8686471
GFII.PA,Lisi SA,France,1213118181.98874,565694.837647059
CAIF.PA,Caiss Regio Credi Agric Mutuel Paris Idf,France,544560717.715322,39996.551372549
VEIL.PA,Viel et Compagnie SA,France,681112608.759647,47458.4103921569
BOIR.PA,Boiron SA,France,593912060.8,437000.045497695
ALBI.PA,Gascogne SA,France,86902835.7492205,44246.4521568627
ALPM.PA,Precia SA,France,185177192.0,62030.6011764706
IFDE.PA,Cie Industrielle Financiere Entreprise SA,France,73248009.805819,271911.519339361
ODET.PA,Compagnie De l'odet SE,France,9905328960.0,623117.443137255
SAMS.PA,Samse SA,France,622455120.0,63029.7549019608
LECS.PA,Lectra SA,France,1260664026.37154,520025.554313725
CVO.PA,Covivio SA,France,5068440603.08313,7429384.52776471
PLOF.PA,Compagnie Plastic Omnium SE,France,1645855550.43,1749356.80137255
BULY.PA,Burelle SA,France,769838874.0,41951.7803921569
PEUG.PA,Peugeot Invest SA,France,2751453825.6,527065.759607843
PVAC.PA,Pierre et Vacances SA,France,653909392.357107,376096.327882353
MAUP.PA,Etablissements Maurel et Prom SA,France,1290086663.7,1357269.40736863
THHG.PA,Thermador Groupe SA,France,773378220.396232,299534.816862745
SOPR.PA,Sopra Steria Group SA,France,4465887786.63347,5619304.54980393
ALGIL.PA,Groupe Guillin SA,France,524363625.0,129608.884705882
SCOR.PA,Scor SE,France,5717874997.75779,9790206.77890196
LOUP.PA,Societe LDC SA,France,2664696936.69936,206947.643137255
RCOP.PA,Remy Cointreau SA,France,4858781461.2,10911279.1849804
RUBF.PA,Rubis SCA,France,3227425007.78709,5182178.05117647
ALPDX.PA,Piscines Desjoyaux SA,France,123617789.26365,66472.6992156863
HRMS.PA,Hermes International SCA,France,243337494660.0,105812101.940392
DIOR.PA,Christian Dior SE,France,133485308082.0,2969569.73529412
DBG.PA,Derichebourg SA,France,682030694.375315,935399.310184314
IMAF.PA,Altarea SCA,France,2042954469.4,451895.63372549
LACR.PA,Lacroix Group SA,France,122659038.4,74318.8733333334
DANO.PA,Danone SA,France,40231871602.4356,62245552.9979216
AIRF.PA,Air France KLM SA,France,2749060829.71444,19172286.32
RENA.PA,Renault SA,France,14165510402.4116,39624872.161
CDAF.PA,Compagnie des Alpes SA,France,723097778.994296,453090.842362158
SABT.PA,Oeneo SA,France,709071966.6,129039.749294118
0345.HK,Vitasoy International Holdings Ltd,Hong Kong,6662179982.52,12589738.8338211
BITI.PA,ABC Arbitrage SA,France,237839427.21,230131.701392157
QDT.PA,Quadient SA,France,636713444.112206,630801.381921569
0002.HK,CLP Holdings Ltd,Hong Kong,161819159008.5,143493282.494106
ALLAN.PA,Lanson BCC SA,France,308879217.843886,55326.7737254902
1193.HK,China Resources Gas Group Ltd,Hong Kong,61321341081.5,87876533.6276422
1060.HK,Alibaba Pictures Group Ltd,Hong Kong,13712277586.395,30284080.3019919
0363.HK,Shanghai Industrial Holdings Ltd,Hong Kong,12242002616.0,8057668.76922764
0139.HK,Central Wealth Group Holdings Ltd,Hong Kong,575172915.674,1164586.87391057
0003.HK,Hong Kong and China Gas Co Ltd,Hong Kong,114385003700.74,89689716.6211382
0004.HK,Wharf Holdings Ltd,Hong Kong,75942279075.95,44634362.4854065
1200.HK,Midland Holdings Ltd,Hong Kong,631035684.4,982784.445142276
STDM.PA,Sartorius Stedim Biotech SA,France,19894334782.0,15014773.6221569
1010.HK,Sky Blue 11 Co Ltd,Hong Kong,217704143.3,6470716.96747968
SCHN.PA,Schneider Electric SE,France,129690044137.6,132509470.793255
AKW.PA,Akwel SA,France,365817427.2,109955.965803922
LAGA.PA,Lagardere SA,France,3022233218.31567,385091.590901961
1098.HK,Road King Infrastructure Ltd,Hong Kong,891710513.54,501070.382357724
DAST.PA,Dassault Systemes SE,France,51161764424.4658,48411709.4799804
MMTP.PA,Metropole Television SA,France,1672292448.89688,865480.134627452
0336.HK,Huabao International Holdings Ltd,Hong Kong,8753101833.96,4772311.76059526
0164.HK,China Baoli Technologies Holdings Ltd,Hong Kong,103340507.79,923069.979329268
1009.HK,International Entertainment Corp,Hong Kong,1163783649.75,546989.833333333
1208.HK,MMG Ltd,Australia,31767693179.96,60699231.9165854
ALLDL.PA,Groupe LDLC SA,France,102451481.6,90250.5549803922
1051.HK,G-Resources Group Ltd,Hong Kong,1167608464.61,321261.339349593
1199.HK,COSCO SHIPPING Ports Ltd,Hong Kong,18388068078.6,21288982.7331301
AXAF.PA,AXA SA,France,75628269316.7861,97695513.3110784
0315.HK,Smartone Telecommunications Holdings Ltd,Hong Kong,4046817620.67,1747126.06642276
0321.HK,Texwinca Holdings Ltd,Hong Kong,1188258649.44,687043.451341463
0392.HK,Beijing Enterprises Holdings Ltd,Hong Kong,33332376438.6,46585211.1382114
CRIP.PA,Chargeurs SA,France,316953625.007678,558611.547882353
CGDM.PA,Cegedim SA,France,202959008.5,113367.48572549
0006.HK,Power Assets Holdings Ltd,Hong Kong,95899731930.0,98937400.4876017
0590.HK,Luk Fook Holdings (International) Ltd,Hong Kong,10978916795.0,12041646.5975141
1003.HK,Huanxi Media Group Ltd,Hong Kong,2193883417.2,1090063.76695122
0683.HK,Kerry Properties Ltd,Hong Kong,21798612034.56,16583437.3845528
0882.HK,Tianjin Development Holdings Ltd,Hong Kong,1995352432.5,601215.82304878
0010.HK,Hang Lung Group Ltd,Hong Kong,11914159617.5,10687745.895935
0011.HK,Hang Seng Bank Ltd,Hong Kong,202811067763.2,149417270.858333
BATD.PA,Bastide le Confort Medical SA,France,146323267.2,112694.539333333
0012.HK,Henderson Land Development Co Ltd,Hong Kong,116919496122.45,70984492.383374
UBIP.PA,Ubisoft Entertainment SA,France,2845281644.90168,10476810.0237255
0014.HK,Hysan Development Co Ltd,Hong Kong,12283018347.08,18467405.1898781
0016.HK,Sun Hung Kai Properties Ltd,Hong Kong,215449963371.9,301380750.706098
TRIA.PA,Trigano SA,France,2877189030.19504,2174948.66431372
0017.HK,New World Development Co Ltd,Hong Kong,22171538236.51,109315107.023586
ORAN.PA,Orange SA,France,28002149199.9535,54125926.9013333
0019.HK,Swire Pacific Ltd,Hong Kong,87678305700.0,72674309.5694492
0023.HK,Bank of East Asia Ltd,Hong Kong,26905711567.26,10622897.2138618
0027.HK,Galaxy Entertainment Group Ltd,Hong Kong,162041396942.1,357248305.504605
0028.HK,Tian An China Investments Co Ltd,Hong Kong,5571064065.8,410212.923699187
0029.HK,Dynamic Holdings Ltd,Hong Kong,2001464994.02,834354.487317073
LTEN.PA,Alten SA,France,4280760160.55298,4875775.80784313
0035.HK,Far East Consortium International Ltd,Hong Kong,2958484416.3,1877867.02337398
0330.HK,Esprit Holdings Ltd,Hong Kong,877553376.33,1366441.22857317
0037.HK,Far East Hotels and Entertainment Ltd,Hong Kong,413891395.5,2513833.09609756
VIE.PA,Veolia Environnement SA,France,21290278731.2665,43896835.757451
0045.HK,Hongkong and Shanghai Hotels Ltd,Hong Kong,10160514708.96,958974.558495935
0050.HK,Hong Kong Ferry Holdings Co Ltd,Hong Kong,1556916868.71,459167.778937432
SONO.PA,NRJ Group SA,France,604552986.54,97458.6818039216
0052.HK,Fairwood Holdings Ltd,Hong Kong,1081765713.0,556516.674082238
0053.HK,Guoco Group Ltd,Hong Kong,23000690972.7,8572463.47743902
VLTZ.PA,Graines Voltz SA,France,34046095.0,45891.4123529412
0062.HK,Transport International Holdings Ltd,Hong Kong,4567730410.32,534726.13398374
0069.HK,Shangri-La Asia Ltd,Hong Kong,20688479573.12,5112267.50581301
0071.HK,Miramar Hotel and Investment Co Ltd,Hong Kong,6937235337.8,395145.11495935
0081.HK,China Overseas Grand Oceans Group Ltd,Hong Kong,6335687022.96,14174998.0155285
0083.HK,Sino Land Co Ltd,Hong Kong,72917228721.96,46851091.564309
0086.HK,Sun Hung Kai & Co Ltd,Hong Kong,4775335137.99,1579249.30845528
BOND.PA,Bonduelle SA,France,257777900.6,186751.519529412
0092.HK,Champion Technology Holdings Ltd,Hong Kong,162751741.824,381776.328747967
0101.HK,Hang Lung Properties Ltd,Hong Kong,35364188866.2,67688919.1823984
0108.HK,GR Life Style Co Ltd,Hong Kong,1071790285.31,894809.484878049
0116.HK,Chow Sang Sang Holdings International Ltd,Hong Kong,5954644860.0,2564311.62752033
0119.HK,Poly Property Group Co Ltd,Hong Kong,5464291858.74,8383114.50528455
0120.HK,Cosmopolitan International Holdings Ltd,Hong Kong,917319207.0,10033125.7141151
EXA.PA,Exail Technologies,France,372018348.45,275334.321725053
0123.HK,Yuexiu Property Co Ltd,Hong Kong,20368488139.78,80626206.570654
0127.HK,Chinese Estates Holdings Ltd,Hong Kong,2098380986.9,627887.651788618
0128.HK,ENM Holdings Ltd,Hong Kong,602490416.74,664045.3625
0133.HK,China Merchants China Direct Investments Ltd,Hong Kong,1721363046.9,759167.68097561
0135.HK,Kunlun Energy Company Ltd,Hong Kong,68404533493.2,96125955.2007723
0142.HK,First Pacific Co Ltd,Hong Kong,15784929320.4,11897623.4842276
0144.HK,China Merchants Port Holdings Co Ltd,Hong Kong,45926220494.84,35619940.6811382
